状元茶	配方	冰糖６０克
澳洲鳗鲡	目	鳗鲡目
红楼台宝螺	界	动物界
佛手（芸香科植物）	别称	佛手柑
美洲红鹮	种	美洲红鹮
单穗升麻	纲	双子叶植物纲
赛州黄檀	纲	双子叶植物纲
甜菜螟	分布区域	内蒙古
玫瑰茄菊花茶	中文名	玫瑰茄菊花茶
大武斑叶兰	纲	单子叶植物纲
白花凤蝶兰	界	植物界
黑王子（植物物种）	属	拟石莲花属 Echeveria
冠纹柳莺西南亚种	属	柳莺属
芽孢杆菌	界	细菌界
青岗栎	纲	双子叶植物纲
毛梗兰	亚科	兰亚科
龙虎斑	中文学名	龙虎斑
间色宝螺	中文学名	间色宝螺
亨利兜兰	科	兰科
兴安翠雀	亚科	金莲花亚科
翼法螺	种	翼法螺
齿瓣鸢尾兰	界	植物界
青梅（龙脑香科、青梅属乔木）	目	侧膜胎座目
巨苞岩乌头	门	被子植物门
曲粘夜蛾	纲	昆虫纲
吊丝虫	目	鳞翅目
隐士骨螺	科	骨螺科
琴冥尺蛾	目	鳞翅目
喙金环宝螺	科	宝螺科
花格斑叶兰	种	花格斑叶兰
白鸠（一种鸟类）	界	动物界
肾叶白头翁	目	毛茛目
半滑舌鳎	界	动物界
肋蜒螺	目	原始腹足目
金头紫沙尺蛾	属	灰尺蛾属
淡黄笔螺	目	新腹足目
山紫茶	原料	紫苏叶3g
翡翠属	门	脊索动物门
硬皮马勃	中文学名	硬皮马勃
楸螟	亚纲	有翅亚纲
合欢树（豆科、合欢属乔木）	分布区域	中国华东、华南、西南及辽宁、河北、河南、陕西。
冠纹柳莺西南亚种	纲	鸟纲
拟蜘蛛兰	界	植物界
耸肩凤凰螺	目	中腹足目
赛山梅	亚目	柿树亚目
非洲茉莉	门	被子植物门
东方斑鵖	族	䳭族
姬黑星小灰蝶	门	节肢动物门
卵唇红门兰	门	被子植物门
展毛黄草乌	科	毛茛科
地理宝螺	英文名称	Cartographic Mappa
大太阳闪蝶	门	节肢动物门
密花毛兰	命名者及年代	Hand.-Mazz., 1936
凝脂莲	分布区域	墨西哥
白剌内丝白粉菌	中文名	白剌内丝白粉菌
灰眶雀鹛湖北亚种	纲	鸟纲
金枝玉叶（绿茶）	是否含防腐剂	否
稀蕊唐松草	拉丁学名	Thalictrum oligandrum
梦幻闪蝶指名亚种	纲	昆虫纲
福左轻鳄龙	类	新兽脚类
岳西翠尖	制作工艺	摊放
白胸苦恶鸟印度亚种	亚种	白胸苦恶鸟印度亚种
肖韶子	纲	双子叶植物纲
欧洲黑松	种	欧洲黑松
耳匙菌	分布区域	浙江
宽唇盆距兰	别称	宽唇松兰
蛤蚧（陆栖爬行动物）	同物异名	Lacerta gecko Linnaeus（1758）
黄褐暗水螟	科	螟蛾科
山东银莲花	目	毛莨目
金虎（猫科动物）	中文学名	金虎
凹唇石仙桃	属	石仙桃属
海蛇（眼镜蛇科动物）	科	眼镜蛇科
峭脊角胸肖叶甲	亚科	肖叶甲亚科
鹦鹉嘴龙（恐龙）	门	脊索动物门
小栓菌	拉丁学名	Trametes malicola Berk. & Curt.
红叶红花垂枝海棠	亚科	苹果亚科
漠斑牙鲆	英文名称	Southern Flounder
角柄厚皮香	亚纲	原始花被亚纲
翅柄紫茎	属	紫茎属
叠裂银莲花	种	叠裂银莲花
TrojanDropper.Agent.ams	病毒类型	木马释放器
龙头兰	中文学名	龙头兰
风吹楠	别称	埋央孃
北插天天麻	中文学名	北插天天麻
祝蛾科	门	节肢动物门
大孢黑球腔菌	种	蛹孢假壳科
巨瓣兜兰	门	被子植物门
云叶兰	门	被子植物门
齿鲸	亚门	脊椎动物亚门
俄罗斯红叶李	目	蔷薇目
游隼	亚纲	今鸟亚纲
白网灯蛾	门	节肢动物门
角盘兰	科	兰科
椭圆形红细胞	所属分类	血
西南毛茛	毒性	有毒
西南毛茛	分布区域	云南北部、贵州、四川西南部和湖北西部
佛手（芸香科植物）	属	柑桔属
黑苇鳽	中文学名	黑苇鳽
海南五针松	界	植物界
宝石鱼	门	脊索动物门
玫瑰鸢尾兰	拉丁学名	Oberonia rosea Hook. f.
BAT.WCup	中文名	BAT.WCup
小叶红光树	界	植物界
发网菌属	中文名	发网菌属
火神芋螺	命名者及时间	Tenorio & Afonso, 2004
小叶肉实树	拉丁学名	Sarcosperma griffithii Hook.f. ex C. B. Clarke
密花毛兰	门	被子植物门
密叶唐松草	目	毛莨目(Ranunculales)
毛果银莲花	目	毛茛目
膝爪显柱乌头	科	毛茛科
羊肚菌	分布区域	山西
单丛茶	是否含防腐剂	否
星头鬼笔	拉丁学名	Aseroe arachnoidea
长尾阔嘴鸟	中文学名	长尾阔嘴鸟
垂枝红千层	拉丁学名	Callistemon viminalis
榆树（落叶乔木植物）	目	荨麻目
拳距瓜叶乌头	亚科	金莲花亚科
加利利链霉菌Ciba	中文学名	加利利链霉菌Ciba
甘薯绮夜蛾	目	鳞翅目
白琳工夫	功效	红茶可以帮助胃肠消化
东壁（水果名称）	特点	树冠圆头形
印头鱼（海洋鱼类）	亚门	脊椎动物亚门
球果唐松草	目	毛茛目
大黑星龟金花虫	界	动物界
麻姑茶	功效	防癌
画眉海南亚种	中文学名	画眉海南亚种
稻螟虫	分布区域	全国各稻区
白斑角鲨	中文学名	白斑角鲨
蚕豆镰刀菌萎蔫病	主要危害作物	蚕豆
日本全唇兰	科	兰科
大波纹蛇目蝶	界	动物界
微裂银莲花	亚科	毛茛亚科 SUBFAM. Ranunculoideae
深裂沼兰	纲	单子叶植物纲
红玉海棠	亚科	苹果亚科
韭萤叶甲	别称	韭叶甲
三文鱼	亚纲	新鳍亚纲
黄鱼（石首鱼科海洋鱼类）	门	脊索动物门
雉鸡（动物）	别称	野鸡
美国芋螺	纲	腹足纲
光序乌头	亚纲	木兰亚纲(Magnoliidae)
白尾䴓	属	䴓属
鳞皮冷杉	命名者及年代	Mast.，1906
叉杜父鱼	属	叉杜父鱼属Furcina
高山鸟巢兰	命名者及年代	Lindl., 1839
红锈刺革菌	别称	红锈革
白山耧斗菜	科	毛茛科
香洋椿木	拉丁学名	Cedrela odorata
红豆杉	科	红豆杉科
冠纹柳莺西南亚种	亚种	冠纹柳莺西南亚种
菜花（蔬菜）	亚纲	五桠果亚纲
鹭鸶（鹭科鸟类）	属	17属
间色宝螺	科	宝螺科
瓦山栲	别称	瓦山锥 刺栗子（四川）黄山栲
地蒲	横径	4～5厘米
红豆杉	温度	最适温度20～25℃
大红鹳	属	红鹳属
新型兰	亚科	兰亚科
Win32.Hack.Agobot.nq	病毒类型	黑客程序
兰科	门	被子植物门
大斑啄木鸟华北亚种	命名者及年代	1854
凤尾鱼（小型经济鱼类之一）	纲	辐鳍鱼纲
雷强钓法	生活环境	栖息于水草丛生
魔兽贼变种cl	影响平台	2003
八哥（椋鸟科鸟类）	拉丁学名	Acridotheres cristatellus
夜鹭（鹭科夜鹭属鸟类）	目	鹳形目
黄椿木姜子	科	樟科
革叶铁榄	拉丁学名	Sinosideroxylonwightianum(Hook. et Arn.) Aubr.
鲨鱼（海洋中的鱼类之一）	亚纲	板鳃亚纲
银甘茶	来源	传统药茶方
鳞皮冷杉	拉丁学名	Abies squamataMast.
灰背岸八哥	纲	鸟纲
客来夜蛾	分布区域	陕西
豆角	拉丁学名	Vigna unguiculata (Linn.) Walp.
玫瑰毛兰	拉丁学名	EriaroseaLindl.
卵子（雌性动物的生殖细胞）	中文名	卵子
半柱毛兰	命名者及年代	Rchb. f., 1878
光梗鸭绿乌头	亚科	铁筷子亚科
金钱豹（猫科动物）	科	猫科
加拿大糖槭	中文学名	加拿大糖槭
鼠刺叶柯	目	山毛榉目
乌桕	别名	木子树
虎斑兜兰	亚属	兜兰亚属
癌细胞	辅助治疗	抗癌药 癌痛药
芝麻宝螺	纲	腹足纲
韭萤叶甲	分布区域	内蒙古
猕猴桃（水果）	目	山茶目
德国刚毛波音达犬	英文名称	GermanWirehairedPointe
文旦（芸香科常绿乔木植物）	族	柚子族
竹织叶野螟	中文学名	竹织叶野螟
拜拉斯病毒	类型	一种危害兰花的病毒病
小叶荆(变种)	中文学名	小叶荆(变种)
魔兽贼变种cl	中文名	魔兽贼变种cl
苦荞茶	拉丁学名	Fagopyrum tataricum (L.) Gaertn
二叶兜被兰	别称	兜被兰
山珊瑚（兰科植物）	门	被子植物门
乌枣	别称	软枣
云叶兰	属	云叶兰属
黄地匙菌	纲	子囊菌纲
特洛依木马	危害等级	★
对纷舟蛾	界	动物界
尖囊兰	亚科	兰亚科
班章	意思	一条鱼”
文鸟	中文学名	文鸟
宽距翠雀花	界	植物界
梫星尺蛾	种	梫星尺蛾
毛叶钝萼铁线莲	界	植物界
黑跗眼天牛	分布区域	广西
青柠（水果）	亚纲	蔷薇亚纲 Rosidae
雅鱼（鲤形目鲤科鱼类）	门	脊索动物门 Chordata
美雪苔蛾	分布区域	四川
艳红芋螺	科	芋螺科
黑色素细胞	作用	产生黑色素
勇士芋螺	拉丁学名	Conus tiaratus
茶树茶奕刺蛾	界	动物界
古巴光盖伞	界	真菌界
毛叶钝萼铁线莲	拉丁学名	Clematis peterae Hand.-Mazz. var. mollis W.T.Wang
糙叶唐松草	属	唐松草属
灰雁（大雁种类）	别称	灰腰雁
蛭弧菌	中文学名	蛭弧菌
斜纹夜蛾	亚纲	有翅亚纲
荏弱毛茛	族	毛茛族(Ranunculeae DC.)
锯带翠蛱蝶	界	动物界
冬孢菌纲	目	纲下分2目：锈菌目和黑粉菌目
毛果银莲花	亚科	毛茛亚科
银冠（家养多肉植物）	属	银波锦属
二叶红门兰	别称	双花红门兰
白腹蓝（姬）鹟	目	今颚总目
巴氏铁线莲	科	毛茛科
乌鶲	亚门	脊椎动物亚门
心唇沼兰	亚科	兰亚科
枣叶翅果麻	科	锦葵科
肾细胞	可见于	双翅类幼虫
永远在一起（我曾有一只名叫阿丑的狗）	书名	永远在一起：我曾有一只名叫阿丑的狗
黄河鲤	别称	鲤子
雪花芋螺	拉丁学名	 Asprella tannaensis
锦晃星	亚门	原始花被亚纲（Archichlamydeae）
米林乌头	亚科	金莲花亚科
链霉菌3722/2	形态	孢子卵圆形至杆状
云南石梓	保护级别	2级
短果升麻	命名者及年代	P. K. Hsiao, 1965
wmiprvse.exe病毒	表现	不停调用wmiprvse.ex
葡萄（水果）	药用价值	益气
果粒蛙螺	科	蛙螺科
灰背叶柯	科	壳斗科
单齿蝼步甲	界	动物界
大鱼狗	门	脊索动物门
伊犁乌头	是否中国特有	是
智利火烈鸟	纲	鸟纲
九中金牌杜仲雄花茶	品质特点	无污染
翠鸟属	亚种	48种
堰虹桂	中文学名	堰虹桂
鱼虱	中文学名	鱼虱
四腺翻唇兰	别称	圆唇伴兰
细茎盆距兰	拉丁学名	Gastrochilus intermedius (Griff. ex Lindl.) Kuntze
沙朴（落叶乔木名称）	别名	朴树
金松科	纲	松柏纲
湄公双孔鱼	界	动物界
小黄鱼	亚种	无
茴香红茶	原料	茴香5g、红茶3g、糖10g
猛犸象	拉丁学名	Mammonteus primigenius
食人鱼（南美洲食肉淡水鱼）	界	动物界
香岩梧桐	中文学名	香岩梧桐
短滨螺	科	滨螺科
树舌灵芝亚属	中文学名	树舌灵芝亚属
血细胞	外文名称	hematocyte
榆黄叶甲	界	动物界
蚂案贼变种ri	病毒长度	96768字节
NGT美国红枫	目	无患子目
银灰金星尺蛾	中文名	银灰金星尺蛾
乌柏大蚕蛾	门	节肢动物门
癌细胞	所属科室	内科 - 肿瘤内科
云南刺桐	亚科	蝶形花亚科
锦鲤	门	脊索动物门
银杏珠天蚕蛾	分布区域	西南。
菱唇毛兰	门	被子植物门
Worm/Sober.e	外文名	Worm/Sober.e
新高花天牛	纲	昆虫纲
哈里斯黄宝螺	纲	腹足纲
毒盔孢伞	属	盔孢伞属
矮紫樱	界	植物界
客来夜蛾	中文学名	客来夜蛾
棕颈钩嘴鹛东南亚种	种	棕颈钩嘴鹛
燕子（燕科鸟类统称）	中文学名	燕子
女皇凤凰螺	门	软体动物门
妮娇姬花天牛	门	节肢动物门
蜜舌微草螟	目	鳞翅目
假大白菇	属	红菇属
家天牛	科	天牛科 Cerambycidae
云南刺桐	界	植物界
紫檀（豆科紫檀属乔木）	门	被子植物门
Win32.Troj.QQMsgBook.cf	影响系统	Win9x / WinNT
白唇槽舌兰	种	白唇槽舌兰
长齿乌头	界	植物界
奇形蜓尾花天牛	门	节肢动物门
灰林鵖指名亚种	亚科	鸫亚科
玫瑰鸢尾兰	命名者及年代	Hook. f., 1890
四川钓樟	门	被子植物门
双峰（鱼类）	中文学名	双峰
台湾黑骚金龟	门	节肢动物门
黑灵芝（真菌）	目	非褶菌目
斑点九刺鮨	亚纲	辐鳍亚纲
翘嘴鲌	地方名	条鱼
欧洲鲽	种	欧洲鲽
荆棘鸟（传说的一种奇特鸟类）	分布区域	南美
芦卡亚芋螺	界	动物界
二脊沼兰	纲	单子叶植物纲
Backdoor/Agent.uc	中文名	“代理”变种uc
虎（大型猫科动物）	亚目	裂脚亚目
撒旦鸭嘴	亚门	脊椎动物亚门(Vertebrata)
亚伏褶菌	目	伞菌目
密花舌唇兰	种	密花舌唇兰
凹唇石仙桃	界	植物界
蓝丝膜菌	中文学名	蓝丝膜菌
全裂乌头	中文学名	全裂乌头
灰良苔蛾	亚科	苔蛾亚科
田鸡属	目	鹤形目
台湾厚唇兰	命名者及年代	Summerh, 1957
尖药兰	界	植物界
金娃娃（海江洄游性的温水性底栖鱼类）	亚纲	辐鳍亚纲
细天麻	命名者及年代	Bl., 1856
棉茎木蠹蛾	拉丁学名	Zeuzera coffeae Nietner
水青粉蝶	亚纲	有翅亚纲
绿翅宽尾花天牛	亚科	花天牛亚科
二叶舌唇兰	纲	单子叶植物纲
红锈刺革菌	界	真菌界
扇内斑舟蛾	年代	1928
黄茸锈耳	拉丁学名	Crepidotus fulvotomentosus Peck
长梗亚欧唐松草	族	唐松草族
猪细小病毒病	外文名称	porcine parvovirus infection
拟蜘蛛兰	门	被子植物门
三角叶黄连	命名者及年代	C. Y. Cheng et Hsiao.，1965
绿金花天牛	纲	昆虫纲
北美乔柏	中文学名	北美乔柏
摇摆蟹守螺	目	中腹足目
麻桐树	分布区域	中国
台湾火烧兰	命名者及年代	Fukuyama, 1934
槐（豆科槐属乔木）	别称	家槐
山西乌头	命名者及年代	Ulbr. ex Hand.-Mazz., 1939
壁虎（爬行动物）	别称	守宫
太白银莲花	亚纲	原始花被亚纲
台湾棋石小灰蝶	科	灰蝶科
拟冰川翠雀花	亚属	翠雀亚属
茶山（茶垢雅称）	中文名	茶山
钢铁果实	饰演	大熊王
毛窄叶柃	纲	双子叶植物纲
翼螺	科	嵌线螺科
蜜桔（水果）	中文学名	蜜桔
镰苞鹅耳枥	亚纲	金缕梅亚纲
柠檬茉莉茶	是否含防腐剂	否
豆天蛾	亚门	六足亚门
夏天麻	目	微子目
土豚拳螺	科	拳螺科
假菩提树	拉丁学名	Ficus rumphii
甲烷杆菌属	中文名	甲烷杆菌属
单花曲唇兰	目	微子目
开普狮	界	动物界
合欢树（豆科、合欢属乔木）	属	合欢属
白鹡鸰黑背眼纹亚种	界	动物界
甜菜螟	亚科	野螟亚科
白鹡鸰东北亚种	中文学名	白鹡鸰东北亚种
狭叶山兰	命名者及年代	Lindl., 1896
四大家鱼	中文名	四大家鱼
蓝匙叶银莲花	属	银莲花属
犰狳芋螺	纲	腹足纲
雁鸭类	目	雁形目
长嘴钩嘴鹛海南亚种	纲	鸟纲
杜鹃（杜鹃花科植物）	亚属	映山红亚属
台湾黑骚金龟	界	动物界
胖肚子舟螺	界	动物界
建鲤	中文学名	建鲤
褐牙鲆	门	脊索动物门
触须阔蕊兰	目	微子目
椰香咖喱蔬菜	主料	胡萝卜
观赏虾	寿命	一年到三年左右
雷波铁线莲	门	被子植物门
恐龙世纪（街机游戏）	特点	三人同时进行游戏
绿宝（落叶乔木）	科	紫葳科
猫纹（小说作品）	种	纹猫种
高山鸟巢兰	科	兰科
灰顶竹毒蛾	中文学名	灰顶竹毒蛾
灰喜鹊（灰喜鹊）	种	灰喜鹊
桔普洱	中文名	桔普洱
蓝花楹	别名	紫云木
滇南盆距兰	种	滇南盆距兰
黄草地螟	分布区域	江苏
宽萼圆锥铁线莲	科	毛茛科
I-Worm/Atak.d	外文名	I-Worm/Atak.d
陆奥（日本青森果树试验场培育成的水果）	中文名	陆奥
巨齿唐松草	门	被子植物门（Angiospermae）
避役（爬行动物）	亚目	蜥蜴亚目
小舌唇兰	门	被子植物门
飞蝇蟹守螺	纲	腹足纲
烟柳莺昌都亚种	亚种	烟柳莺昌都亚种
盆距兰	目	微子目
白尾热带鸟台湾亚种	界	动物界
黑苇鳽	别称	黑鳽
火龙果（水果）	别称	仙蜜果
美国鹅掌楸	中文学名	美国鹅掌楸
信天翁属	门	脊索动物门
沼兰	科	兰科
早白尖茶	优点	上市特别早
红豆杉	分布区域	四川
棕头鸥	外文名称	Brown-headed Gull
黑棘丛螟	中文学名	黑棘丛螟
长叶山兰	族	树兰族
黄腹鹿子蛾	门	节肢动物门
短吻三线舌鳎	中文学名	短吻三线舌鳎
孔夫子锯锹	中文学名	孔夫子锯锹
多花地宝兰	纲	单子叶植物纲
红叶红花垂枝海棠	中文学名	红叶红花垂枝海棠
赭褐枝瑚菌	属	枝瑚菌属
灰鹡鸰	科	鹡鸰科
Win32.Troj.T2yuhuo	威胁级别	★★
海蛇（眼镜蛇科动物）	拉丁学名	Pelamis platurus
红花斑叶兰	中文学名	红花斑叶兰
杨雪毒蛾	拉丁学名	Stilpnotia candida
regsrv.exe	木马	: 是
大紫艳金花虫	界	动物界
雷波铁线莲	分布区域	四川省
德拉诺伊芋螺	中文学名	德拉诺伊芋螺
光硬皮马勃	分布区域	贵州
黄条脊花天牛	门	节肢动物门
锹形虫	界	动物界
黑盖拟多孔菌	拉丁学名	Polyporellus melanopus
生暗链霉菌	孢子形状	椭圆形至短柱 形
腮腺炎病毒	中文名	腮腺炎病毒
四大家鱼	特点	鳞片大而粗
粘唐松草	属	唐松草属 Thalictrum
枇杷（水果）	界	植物界
乌苏里拟鲿	属	拟鲿属
姬鳞鲀	亚纲	真骨下纲
高斑叶兰	别称	穗花斑叶兰
弧斑花天牛	中文学名	弧斑花天牛
武昌鱼	亚门	脊椎动物亚门
黑鸫	别称	中国黑鸫
齿唇沼兰	目	微子目
野猫（猫科动物）	亚科	猫亚科
苹果蠧蛾	分布区域	吉尔吉斯坦
小黑花天牛	科	天牛科
长斑裳凤蝶指名亚种	门	节肢动物门
瘤肩卷管螺	拉丁学名	Ptychobela opisthochetos
小丑鱼（鲈形目雀鲷科海葵亚科鱼类俗称）	界	动物界
益胃茶	功能	益胃生津
榆绿毛萤叶甲	分布区域	山东
十齿花科	目	檀香目
大西洋鲑鱼	纲	辐鳍鱼纲Actinopterygii
中华鰟鮍	亚目	鲤亚目
胎盘间充质干细胞	主要特性	增殖能力和多向分化潜能
索马里中华宝螺	拉丁学名	Ovatipsa chinensis somaliana
短距舌唇兰	种	短距舌唇兰
无忧树	亚科	苏木亚科
斑叫鸮	中文学名	斑叫鸮
花八哥	科	椋鸟科
长梗亚欧唐松草	组	腺毛唐松草组
班褐孔菌	科	多孔菌科
海月水母	科	羊须水母科
具槽石斛	门	被子植物门
肾叶白头翁	属	白头翁属
妞妞（微博知名宠物狗）	主人	回忆专用小马甲（微博）
黄刺蛾	别称	茶树黄刺蛾
红褐柃	中文学名	红褐柃
斜茸毒蛾	中文学名	斜茸毒蛾
石板芋螺	门	软体动物门
燕尾（鸟类）	纲	鸟纲
宽萼圆锥铁线莲	门	被子植物门
二点类华花天牛	门	节肢动物门
淡网尺蛾	亚门	六足亚门
菜花（蔬菜）	属	芸薹属
肉褐环柄菇	中文纲名	担子菌纲
似褐足角胸肖叶甲	纲	昆虫纲
灰眶雀鹛滇西亚种	定名人及年代	Harington,1913
多育黍黑痣菌	中文名	多育黍黑痣菌
猫纹（小说作品）	别名	云猫
屏东木姜子	族	木姜子族
构月天蛾	分布区域	河南
兰州鲶	中文学名	兰州鲶
沙冷杉	门	裸子植物门
嗜冷细菌	类型	嗜极生物
多变链霉菌	中文学名	多变链霉菌
云贵铁线莲	科	毛茛科
高山乌头	种	高山乌头
全唇孟兰	纲	单子叶植物纲
柱状黄杆菌	中文名	柱状黄杆菌
血细胞	功能	运送氧
短距红门兰	纲	单子叶植物纲
伊犁乌头	门	被子植物门
飓风芋螺	中文学名	飓风芋螺
大蒜拌茄泥	是否含防腐剂	否
棒叶鸢尾兰	族	树兰族
鲜红毛角花天牛	科	天牛科
欧洲银莲花	科	毛茛科
大红鹳	种	大红鹳
亚东乌头	种	亚东乌头
尖萼耧斗菜	门	被子植物门
爱狗主义	含义	利用合法手段表达对狗的爱护精神
小斑姬鹟	科	鹟科
锈毛铁线莲	亚纲	原始花被亚纲
米克列海蛳螺	门	软体动物门
触角沼螺	门	软体动物门
云南核果茶	界	植物界
长梗翠雀花	亚组	滇川翠雀花亚组
TrojanDownloader.TpxVip.b	病毒类型	木马下载器
滑顶薄壳鸟蛤	科	鸟尾蛤科
毛叶高山唐松草	门	被子植物门
淡黄异花天牛	科	天牛科
刚松	界	植物界
